nama;partai;dapil
SELFIA NINGSIH S.Pd;persatuan indonesia;Aceh I
SELINA GITA S.E.;partai golongan karya;Jambi
SELVI OKTARICA;partai berkarya;Aceh II
SELVIANTI JOENOES;persatuan indonesia;BALI
SELVIE E. TOMBOKAN;partai solidaritas indonesia;Jawa Tengah VII
SEM JONATHAN RAKINAUNG SH.,MH;persatuan indonesia;Sulawesi Selatan II
SENTOT DWI PRASTYA BUDI;partai bulan bintang;Sulawesi Selatan II
SEPDA AYU WD;partai solidaritas indonesia;Bengkulu
SEPTI EFIYETI SH;partai berkarya;Bengkulu
SEPTI INDIAH RAHAYU S.H., M.H;partai golongan karya;Lampung I
SETIAWATI M.SI;partai bulan bintang;Nusa Tenggara Barat II
SETIAWATI M.PD;partai kebangkitan bangsa;Jawa Barat V
SETIYANINGSIH ST;partai solidaritas indonesia;D. I. Yogyakarta
SETYASIH PRIHERLINA;partai amanat nasional;Jawa Tengah X
SETYAWATI MOLYNA S.Ud., M.Si.;partai amanat nasional;Jawa Tengah V
SEVEN SIMANJUNTAK S.Kep., Ners.;partai kebangkitan bangsa;Sumatera Utara III
SEVENFREE MANURUNG;persatuan indonesia;Sumatera Utara III
SHADER MUBARAK ARTHAMIN S.Ak;partai solidaritas indonesia;Jawa Timur I
SHALAHUDDIN AHMAD ST, MT;partai bulan bintang;Jawa Barat V
SHANTI RAMCHAND;partai nasdem;Dki Jakarta II
SHANTY ALDA NATHALIA S.H;partai golongan karya;Banten I
SHEBA AULIANANDA;partai solidaritas indonesia;Jawa Tengah VI
SHEILA AYU SAYIDAH S.I.Kom;partai gerakan indonesia raya;Jawa Barat X
SHELLA KUSUMA PUTRI;partai solidaritas indonesia;Nusa Tenggara Barat I
SHERLY HN VALENIA P;partai persatuan pembangunan;Papua
SHINTA MELODIYANA PUTRI;partai nasdem;D. I. Yogyakarta
SHOFWIM SHOFWAN, S.PSI., MBA;partai nasdem;Sumatera Barat I
SHOLEHUDDIN;partai kebangkitan bangsa;Jawa Barat VIII
SHOLIKHAH HAMDANI S.Kom.I;partai bulan bintang;Jawa Tengah III
SHOLIKHIN S.Pd;partai solidaritas indonesia;Jawa Timur IX
SIANE INDRIANI;partai gerakan indonesia raya;Jawa Timur I
Drs SIDIK PRAMONO MH;persatuan indonesia;Kalimantan Barat I
SIGISMOND B. W. NOTODIPURO;partai gerakan indonesia raya;Jawa Timur VII
Ir SIGIT HARIYANTO;partai persatuan pembangunan;Jawa Barat III
SIGIT IBNUGROHO SARASPRONO;partai gerakan indonesia raya;Jawa Tengah I
SIGIT PERMADI;partai gerakan indonesia raya;Jawa Timur VI
SIGIT SETIYAWAN;partai kebangkitan bangsa;Gorontalo
SIGIT WIDODO ST. MSi;partai solidaritas indonesia;Jawa Tengah VIII
SIH PENPRI;partai keadilan sejahtera;Jawa Timur VI
SILMIA AMALIA;partai solidaritas indonesia;Jawa Timur VII
SILVA YENNI M.M;partai bulan bintang;Sumatera Selatan II
SILVANNA;partai solidaritas indonesia;Kalimantan Barat I
SILVERIUS OSCAR UNGGUL SP;partai solidaritas indonesia;Sulawesi Tenggara
SILVIA RAHMAH;partai persatuan pembangunan;Jawa Barat IV
Dr SIMON NAHAK S.H.,M.H;persatuan indonesia;Nusa Tenggara Timur II
SIMSON SONNY MANOACH;partai gerakan indonesia raya;Papua
SIPRIANUS PAULUS S.Fil;partai gerakan indonesia raya;Nusa Tenggara Timur I
SIR JOHN;partai berkarya;Jawa Barat X
SIRAJ EL MUNIR BUSTAMI;partai amanat nasional;Banten III
SIRAJUDDIN S.H.;partai golongan karya;Jawa Tengah III
SIRUAYA UTAMAWAN;partai gerakan indonesia raya;Lampung I
SISMANTO S.Pd, M.KPd;partai solidaritas indonesia;Kalimantan Timur
SISWADI SELODIPOERO;persatuan indonesia;Jawa Tengah II
Ir SISWANDA H SUMARTO MPM;partai amanat nasional;Jawa Barat II
Drs SISWANDI;partai golongan karya;Jawa Barat VIII
Ir SISWOTO M.M;partai golongan karya;Jawa Timur V
Dr SITI AISYAH;partai golongan karya;Jawa Barat VI
SITI AISYAH;partai gerakan indonesia raya;Jawa Tengah III
SITI AMINAH;persatuan indonesia;Nusa Tenggara Timur I
SITI ANISSA TRI HAPSARI;partai berkarya;Jawa Tengah I
SITI ANNISAA MAHFUZHOH S.H;partai kebangkitan bangsa;Jawa Barat XI
SITI ARIFAH;partai persatuan pembangunan;Jawa Tengah VI
SITI ATHIRAH ZAHRA S.H;partai golongan karya;Lampung II
SITI AWALIYAH RACHMAH;partai persatuan pembangunan;Jawa Tengah IV
DRA. SITI CHOLIFA SOEMARTO Apt.,M.Kes.;partai bulan bintang;Jawa Tengah VIII
SITI FATIMAH S.Psi.;partai keadilan sejahtera;Nusa Tenggara Timur II
Dra. Hj SITI FATIMAH MM;partai berkarya;Jawa Timur VIII
SITI FIKRIYAH KHURIYATI S.H., M.Si;partai demokrasi indonesia perjuangan;Jawa Tengah X
SITI HABSYAH MAYAWATI S.E.;partai persatuan pembangunan;Jawa Barat X
SITI HANIFA;partai golongan karya;Jawa Timur I
SITI HARDIANTI SIRY;partai solidaritas indonesia;Papua
SITI HEDIATI SOEHARTO SE;partai berkarya;D. I. Yogyakarta
SITI HUZAEMAH;partai keadilan sejahtera;Jawa Barat XI
Dra SITI J WAHYUNINGRUM M.Pd;partai gerakan indonesia raya;D. I. Yogyakarta
SITI JAMALIAH SH;partai gerakan indonesia raya;Sumatera Utara I
SITI JUBAEDAH QUROH S.PD.;partai persatuan pembangunan;Jawa Barat III
SITI JUBAIDAH;partai demokrasi indonesia perjuangan;Kalimantan Barat I
SITI JULAEHA;partai keadilan sejahtera;Sumatera Utara III
SITI MACHMODHA AL MALIFAH SIP;partai bulan bintang;Jawa Timur XI
SITI MAHMUDAH S.E;partai golongan karya;Jawa Timur VI
SITI MARIAM;partai kebangkitan bangsa;Nusa Tenggara Barat I
SITI MURTAFIAH S. Pd;partai keadilan sejahtera;Jawa Tengah X
SITI NOOR LAILA S.H.;partai demokrasi indonesia perjuangan;Lampung I
SITI NOORAINI IMMAWATI SE;partai keadilan sejahtera;Jawa Timur V
SITI NUR AMINAH;partai kebangkitan bangsa;Jawa Timur VII
SITI NUR AZIZAH;partai persatuan pembangunan;Jawa Timur III
SITI NUR'AINI A.Ma;partai gerakan indonesia raya;Jawa Timur XI
SITI NURHAYATI S.Sos.I., M.I.Kom.;partai golongan karya;Jawa Tengah IX
SITI NURIZKA PUTERI JAYA SH., MH;partai gerakan indonesia raya;Sumatera Selatan I
SITI NURMASYITHAH S.Sos;partai gerakan indonesia raya;Aceh II
SITI RAHMI S.Sos.;partai kebangkitan bangsa;Jambi
SITI ROHIMAH;partai kebangkitan bangsa;Sulawesi Selatan III
SITI RUSMALIA IDRUS;partai persatuan pembangunan;Kalimantan Timur
Dra SITI SARWINDAH M.Si;partai amanat nasional;Kepulauan RIAU
SITI SAUDAH S.Pi;partai bulan bintang;Kalimantan Selatan I
SITI SETIASIH;partai bulan bintang;D. I. Yogyakarta
SITI SUKARSIH;partai gerakan indonesia raya;Jawa Timur II
SITI SUNDARI;partai berkarya;Sumatera Selatan I
SITI ULFAH;partai kebangkitan bangsa;BALI
SITI WULANDARI S.Sos;partai solidaritas indonesia;Jawa Tengah IV
SITTI HASRAYANTI;partai amanat nasional;Jambi
SITTI MASITHAH S.Pd.I;persatuan indonesia;Sulawesi Tengah
SITTI ROHANI S.Ag.;partai berkarya;Sulawesi Selatan III
SITTI SYAHRAENI M.Pd;partai kebangkitan bangsa;Sulawesi Selatan I
Dr. Hj SITTI ZAENAB DJAFFAR SH, M.Kn;partai berkarya;Sulawesi Selatan I
SIWI ASRI MOPRIRATNA;persatuan indonesia;Aceh II
SJUKRIANTO YULIA SE, M.Fin;partai gerakan indonesia raya;Jawa Barat III
SLAMET BADRUDDIN;partai persatuan pembangunan;Jawa Tengah II
SLAMET GUNAWAN;partai persatuan pembangunan;Jawa Barat VII
SLAMET SUPRIHANTO SE;partai bulan bintang;Jawa Barat V
SOEBAGIJO SH, M.Hum.;partai berkarya;Jawa Timur VI
Drs SOEMITRO SAMADIKOEN;partai golongan karya;Jawa Timur VIII
SOESIYANTO S.Sos;partai kebangkitan bangsa;BALI
SOFIA AMBARINI S.KOM;partai solidaritas indonesia;Jawa Timur V
SOFIAN SALEH;partai demokrasi indonesia perjuangan;Sumatera Selatan II
SOFYAN MAKU;partai persatuan pembangunan;Sulawesi Utara
Dr SOLEMAN LENDE DAPPA S.Hut, M.Th;partai kebangkitan bangsa;Nusa Tenggara Timur II
SOLICHAH;partai kebangkitan bangsa;Jawa Tengah III
H SOLIKHIN ST, MT;partai nasdem;Jawa Tengah II
SONIYA HARIYANIS;partai solidaritas indonesia;Jawa Timur VII
SONNY PUDJISASONO, SH;partai berkarya;Jawa Timur V
SONNY SEDANA SE, M.Si.;partai berkarya;Sulawesi Tengah
SONNY SEWANTON SARAGIH S.IP;partai demokrasi indonesia perjuangan;Jawa Timur VIII
DRS SONTAM NAPITUPULU M.M;partai solidaritas indonesia;Sumatera Utara II
Laksmana Muda TNI (Purn) Drs SONY SANTOSO;partai berkarya;Banten II
SONYA RIZKY SE;partai berkarya;Jawa Barat VII
SOPACUA AFIA STENIA SE;partai gerakan indonesia raya;Maluku Utara
SOPHIANTY MEZIANNE;partai gerakan indonesia raya;Maluku
SORAYA;partai gerakan indonesia raya;Banten I
SORAYA A. KADIR SALEH;partai persatuan pembangunan;Jawa Timur III
SORAYA TOGAS;persatuan indonesia;Sulawesi Utara
Dr. SORTAMAN SARAGIH;persatuan indonesia;Sumatera Utara III
SRI AMBARWANI;partai kebangkitan bangsa;Jawa Tengah V
SRI ARIANA NINGSIH;partai kebangkitan bangsa;Aceh II
SRI ATI MULYANI S.E., M.M.;partai demokrasi indonesia perjuangan;Sumatera Utara II
Hj SRI BUDI YAUMID;partai persatuan pembangunan;Kalimantan Timur
SRI BUDIYATI;partai gerakan indonesia raya;Jambi
SRI DAYANI;partai amanat nasional;Dki Jakarta III
SRI FRA PANTI;partai keadilan sejahtera;Sumatera Utara III
SRI HANUM SE;partai keadilan sejahtera;Aceh I
SRI IDAYATI;partai bulan bintang;Kalimantan Barat I
SRI INDRIANI SULEMAN S.Sos;partai solidaritas indonesia;Gorontalo
SRI ISMAWATI;partai persatuan pembangunan;Nusa Tenggara Timur II
SRI KASIANI HUTABARAT S.Pd. AUD;partai amanat nasional;Sumatera Utara II
SRI KRISTIANA M;partai nasdem;Jawa Tengah VI
SRI KUMALA DEVI Am. Keb.;partai gerakan indonesia raya;Sumatera Utara III
SRI LESTARI SH;persatuan indonesia;Jawa Tengah V
SRI MARYANI;partai bulan bintang;Nusa Tenggara Barat I
SRI NURHANDAYANI;partai berkarya;Dki Jakarta II
SRI NURHAYATI SP;partai persatuan pembangunan;Kalimantan Barat II
SRI NURYATI S.AQ;partai kebangkitan bangsa;Jawa Tengah II
H SRI PRAPTONO S.Sos., MM;partai keadilan sejahtera;Jawa Tengah I
SRI RATNA IRNANINGSIH;partai solidaritas indonesia;Jawa Timur VII
SRI RAYANI;partai persatuan pembangunan;Maluku
SRI ROCHANA HIDYATI;partai bulan bintang;Jawa Tengah IV
SRI RUSUPIATI;partai keadilan sejahtera;Jawa Tengah VII
SRI SARAS MUNDISARI;partai persatuan pembangunan;Dki Jakarta II
SRI SOELASTRI AS S.E.;partai golongan karya;Kalimantan Barat II
SRI SUHARTI SH, M.Kes;persatuan indonesia;Dki Jakarta I
Dra SRI SUHARTI M.Si;partai demokrasi indonesia perjuangan;Sumatera Selatan I
SRI SULASTRI;partai keadilan sejahtera;Sulawesi Selatan II
SRI TARIATUN AMPERANINGSIH;partai berkarya;Kepulauan RIAU
Hj SRI WAHYUNI S.Sn., MM;partai bulan bintang;Jawa Barat II
SRI WAHYUNI;partai bulan bintang;Jawa Tengah V
SRI WAHYUNI;persatuan indonesia;BALI
SRI WARDANI M.Kes;partai kebangkitan bangsa;Riau I
SRI WULAN RAMADHANI;partai amanat nasional;BALI
SRI WURYANI S.IP;partai demokrasi indonesia perjuangan;Jawa Timur I
SRI YULIANTI;partai solidaritas indonesia;Sumatera Utara III
ST MASFUFATUL MULYANA;partai kebangkitan bangsa;Jawa Timur III
ST MUNAWARAH;partai persatuan pembangunan;Papua
ST. DIZA RASYID ALI;partai golongan karya;Sulawesi Selatan I
STEFANUS WILLA FARADIAN PURWOKO S.T;persatuan indonesia;Jawa Barat V
STENLY PURARO SE. M.Si;partai amanat nasional;Papua
STEPHANIE SACHARISSA KHOSUMA;partai solidaritas indonesia;Sulawesi Utara
Dr STEPHANUS M.Pd;partai berkarya;Sulawesi Utara
Dr STEPHANUS PELOR SH, MH;partai berkarya;Nusa Tenggara Timur I
STEVANUS J. MANAHAMPI ST;partai gerakan indonesia raya;Sulawesi Utara
STEVEN ABRAHAM;partai gerakan indonesia raya;Papua
STIEN MARIA SCHOUTEN S.E;persatuan indonesia;Banten I
SU'UDI S.Th.I, M.Si;partai persatuan pembangunan;Jawa Timur VIII
SUBANI SURYOHATMOJO;partai persatuan pembangunan;Jawa Timur VI
SUBARIAH;partai kebangkitan bangsa;Dki Jakarta III
Drs SUBECHI M.M., M.Si;persatuan indonesia;D. I. Yogyakarta
Dr SUBHAN DJAYA M S.IP, S.E, M.Si;partai demokrasi indonesia perjuangan;Sulawesi Selatan I
SUBHAN EFENDI S.H;partai golongan karya;Lampung II
SUBHAN NOVIAR S.E.;partai golongan karya;Kalimantan Barat I
SUCI AMALIA;partai solidaritas indonesia;Jawa Timur XI
SUCI MAYANG SARI ST.Ars, M.M.;partai solidaritas indonesia;Jawa Barat III
SUCI RAHMAH YUSRAFITRI;partai persatuan pembangunan;Riau I
SUCIANTI SUAIB SAENONG S.E;partai golongan karya;Dki Jakarta III
Dr SUDARMADJI D.Min;persatuan indonesia;Jawa Timur VII
SUDARMO SP. M.Si;partai keadilan sejahtera;Maluku
Ir SUDARSONO HADI PRANANTO Bsc;persatuan indonesia;Jawa Tengah III
SUDIARTO ST;partai solidaritas indonesia;Jawa Tengah IX
Drs SUDIMAN BONAPARTE MM;partai nasdem;Jawa Barat VIII
Ir SUDIRMAN ALMUN;partai golongan karya;Riau I
SUDJONO TEGUH WIDJAJA S.E.;partai golongan karya;Jawa Timur VI
DR SUDJUD SIRADJUDDIN SH., MH;partai gerakan indonesia raya;Jawa Barat VII
SUDRAJAT ARDANI M.H;partai bulan bintang;Banten II
Dr SUESILOWATY SE., M.MPar;partai keadilan sejahtera;Aceh II
SUFARDI NURZAIN M.Si;partai golongan karya;Jambi
Prof. Dr. H SUFIAN SH., M.Si;partai persatuan pembangunan;Riau II
SUFYAN LAHABI SH., MH;persatuan indonesia;Sulawesi Selatan II
SUGENG BAHAGIJO;partai kebangkitan bangsa;Jawa Timur IX
SUGIARTO SE;partai kebangkitan bangsa;Banten II
SUGIARTO ST., SH;partai gerakan indonesia raya;Jawa Tengah III
SUGIAT SANTOSO SE., M.SP;partai gerakan indonesia raya;Sumatera Utara III
SUGIATI;partai bulan bintang;Banten II
Dr. Ir SUGIHARTO MM;partai bulan bintang;Jawa Timur VI
SUGIONO S.Ag.,M.Pd.I;partai kebangkitan bangsa;BALI
SUGIONO S.H;partai kebangkitan bangsa;Jawa Tengah VIII
SUGISTI DWI AJI S.IP.,M.Si;persatuan indonesia;Jawa Timur VIII
SUHANDI;partai kebangkitan bangsa;Dki Jakarta III
SUHARDIMAN ST;partai solidaritas indonesia;Nusa Tenggara Barat I
SUHARNI BUSTAMI S.Pd;partai kebangkitan bangsa;Aceh I
Hj SUHARTINA BOHARI SE;partai amanat nasional;Sulawesi Selatan II
SUHARTO SE;persatuan indonesia;Jawa Timur IX
SUKAMDI ARY S.Pd.;partai kebangkitan bangsa;Jawa Timur VII
SUKANDA CHANDRAHAYAT ST,. MSi;persatuan indonesia;Banten II
SUKENDRO DARMANTO SE;partai amanat nasional;Kalimantan Barat I
SUKITMAN;partai kebangkitan bangsa;Jawa Barat V
SUKMAWATI SULTAN A.Md;partai golongan karya;Banten I
SUKRISNANTO SETJOADI M.A., Sc.;partai golongan karya;Sulawesi Tengah
SUKRON MA?MUN HIDAYAT S. Hum.;partai kebangkitan bangsa;Jawa Timur III
SULAIMAN ALI;partai amanat nasional;Aceh I
SULASTRI S.Sos.;partai golongan karya;Sumatera Selatan II
Ir SULHAJJI JOMPA MSc;partai golongan karya;Jawa Barat V
SULHAN ST;partai kebangkitan bangsa;Nusa Tenggara Barat II
SULIS SETIOWATI;partai kebangkitan bangsa;Jawa Barat IV
SULISMINI;partai persatuan pembangunan;Jawa Tengah III
SULISNO;partai solidaritas indonesia;Kalimantan Selatan II
SULTAN ABDULLAH KENDECK SH;partai solidaritas indonesia;Kepulauan RIAU
SULTAN PASHA DJORGHI;partai berkarya;Jawa Barat VIII
SUMARDI;partai bulan bintang;Aceh I
DRS SUMARDI KORONA SH.,MH;partai bulan bintang;Sulawesi Tengah
Dr SUMARJATI ARJOSO SKM;partai gerakan indonesia raya;Jawa Tengah III
SUMARNI KAMARUDDIN SH;partai berkarya;Sulawesi Selatan I
SUMARNI P;partai kebangkitan bangsa;Sulawesi Selatan III
SUMIATI;partai berkarya;Aceh I
SUMIHAR PANJAITAN S.IP;partai golongan karya;Jawa Timur VII
SUMINAH S.Ag;partai keadilan sejahtera;Jawa Tengah I
SUMINI YULIASTUTI SE.,MM.;partai bulan bintang;Kep. Bangka Belitung
Drs SUNARDI MM. Pd;partai keadilan sejahtera;Banten III
Ir SUNARTOYO;partai amanat nasional;Jawa Timur I
Ir SUNARYO HADI;partai nasdem;Jawa Timur VI
Dr SUNDA ARIANA M.Pd., M.M;partai berkarya;Sumatera Selatan II
SUNDARI;partai berkarya;Aceh II
DR SUNDARI SOEKOTJO M.M;partai kebangkitan bangsa;Jawa Timur I
SUNTOKO S.Sos., M.Si.;partai berkarya;Jawa Timur VIII
SUNTORO;partai solidaritas indonesia;Jawa Tengah V
SUPADI KUSNADI S.H.;partai persatuan pembangunan;Jawa Barat VIII
SUPANDI AR S.Sos, M. Hum;partai berkarya;Kepulauan RIAU
SUPARDI S.Sos;partai persatuan pembangunan;Nusa Tenggara Barat II
SUPARDI RAMLI;partai demokrasi indonesia perjuangan;Nusa Tenggara Barat II
SUPARMAN;partai kebangkitan bangsa;Kalimantan Timur
SUPIRMAN S.Kom.;partai golongan karya;Riau I
Drs SUPRAPTO;partai golongan karya;Jawa Timur VII
SUPRAYOGI;partai persatuan pembangunan;Lampung I
SUPRIADI;partai amanat nasional;Jawa Timur VII
DR. (HC) SUPRIADI SH, M.H, Ph.D;partai berkarya;Sulawesi Tenggara
SUPRIANUS KANDOLIA S.H;partai golongan karya;Sulawesi Tengah
SUPRIATI SE;partai gerakan indonesia raya;Banten III
SUPRIATNO S.T;partai kebangkitan bangsa;Jawa Barat IV
SUPRIONOTO WIJAYA SH, M.Kn;partai solidaritas indonesia;Kalimantan Barat I
SURAHMAD;persatuan indonesia;Jawa Timur VII
SURAHMAN S.Psi;partai persatuan pembangunan;Jawa Tengah VI
SURATMAN MALIK SE;partai bulan bintang;Gorontalo
SURIANTO;partai amanat nasional;Kalimantan Barat II
SURIATI SH;partai bulan bintang;Kalimantan Timur
SURIPTO;partai solidaritas indonesia;Dki Jakarta II
SURTINI;partai keadilan sejahtera;Jawa Tengah II
SURYA DARMA;partai persatuan pembangunan;Riau I
Ir SURYA DARMA;persatuan indonesia;Gorontalo
H SURYA M. YUS;partai nasdem;Lampung I
SURYA MAULANA S.AP., M.Ap;partai kebangkitan bangsa;Kalimantan Utara
SURYA OKTIKANANDA SKM, MSi;partai amanat nasional;Jawa Timur I
Dr SURYA TJANDRA S.H., LL.M.;partai solidaritas indonesia;Jawa Timur V
Ir SURYADI HENDARMAN MM;partai kebangkitan bangsa;Banten II
SURYADI SAMAN;partai amanat nasional;Kep. Bangka Belitung
SURYANA S.Pd., M.Si;partai bulan bintang;Jawa Barat IX
SURYANTO GULTOM SH;partai solidaritas indonesia;Jawa Barat V
SURYATI S.Pd;persatuan indonesia;Lampung II
SUSAN HANDREA SH;partai persatuan pembangunan;Sumatera Barat I
Dr SUSANINGTYAS NEFO HANDAYANI KERTOPATI M.Si;persatuan indonesia;Jawa Barat VIII
SUSI FIRDIANINGSIH;partai berkarya;Sumatera Barat II
SUSIYANTI ISKANDAR;partai solidaritas indonesia;Maluku Utara
SUSRIANI;partai solidaritas indonesia;Kalimantan Tengah
SUSWANTI S.Pd;partai keadilan sejahtera;Jawa Tengah VI
SUSWI NINGSIH S.Sos.;partai berkarya;Kalimantan Selatan I
SUSY PRI MART S.E.;persatuan indonesia;Riau I
SUSY RIZKY WIYANTINI SISIP;partai solidaritas indonesia;Jawa Barat VI
Dr SUTAN DJOLEN SIRAIT MM;persatuan indonesia;Sumatera Utara II
Ir SUTARMAN ST., S.KOM., M.M;partai bulan bintang;Jawa Barat IX
SUTARNO S,PD., M.M.;partai kebangkitan bangsa;Jawa Barat IX
SUTIAS HANDAYANI SE;partai keadilan sejahtera;Sumatera Utara I
SUTITIEN MALEWA;partai amanat nasional;Sulawesi Tengah
SUTRISNO;partai keadilan sejahtera;Jawa Tengah III
SUTRISNO S.IP., M.Si.;persatuan indonesia;Jawa Tengah II
SUUD FUADI M.E.I;partai kebangkitan bangsa;Jawa Timur VIII
SUWIRYO ISMAIL;partai demokrasi indonesia perjuangan;Gorontalo
SUWITO SUPRAYOGI;partai bulan bintang;Jawa Tengah I
SUYANTO SH;partai bulan bintang;Jawa Timur IV
SUYOTO PRADIPTO SE;partai solidaritas indonesia;Jawa Tengah III
SYABIRIN HS. KOENANG SH., MH.;partai gerakan indonesia raya;Lampung I
Drs SYAEFUDIN SIMON MM;partai persatuan pembangunan;Jawa Timur VI
SYAEFUNNUR MASZAH SH, MM;partai berkarya;Banten III
SYAFA ILLIYIN B SE, MM;partai persatuan pembangunan;Jawa Timur VII
SYAFIRA ZALZA BELLA GUPITA;partai berkarya;Jawa Tengah III
SYAFRI S.H., M.H.;partai kebangkitan bangsa;Jambi
SYAFRIDA AYUDHIA;partai kebangkitan bangsa;Sumatera Utara II
SYAFRIJON SH, MM;partai berkarya;Sumatera Barat II
SYAFRIL ILYAS S.IP;partai persatuan pembangunan;Sumatera Barat I
SYAFRIL NASUTION SE;persatuan indonesia;Jawa Tengah I
Drs. H. SYAFRUDIN H.M,NUR;partai nasdem;Nusa Tenggara Barat I
SYAHDAN SH.,SIP.,MM.,MBA;partai bulan bintang;Nusa Tenggara Barat II
SYAHFITRI HANI HARAHAP SH;partai keadilan sejahtera;Sumatera Utara III
SYAHMUD BASRI NGABALIN S.T;partai golongan karya;Papua
SYAHRAENI;partai persatuan pembangunan;Nusa Tenggara Timur II
SYAHRIAL RIDHO S.H., M.H;partai golongan karya;Kep. Bangka Belitung
Drs SYAHRIAL SOFIAN B.Ac;persatuan indonesia;Kalimantan Selatan I
SYAHRIANTO SH;persatuan indonesia;Sumatera Utara I
H SYAHRIL HANAFIAH S.IP,. MM;partai nasdem;Sumatera Selatan II
SYAHRIL HARIS SH, M.Si;persatuan indonesia;Sumatera Selatan II
Dr SYAHRIL MUKTAR Lc.,ME;partai bulan bintang;Sumatera Barat I
SYAHRONI;partai kebangkitan bangsa;Kalimantan Barat II
SYAHRUL ULUM;partai kebangkitan bangsa;Jawa Timur X
SYAHRULAN PUA SAWA;partai kebangkitan bangsa;Nusa Tenggara Timur I
Drs. H. SYAMSALIS;partai keadilan sejahtera;Jawa Tengah X
SYAMSIAH;partai persatuan pembangunan;Papua Barat
Dra. Hj SYAMSIAH RAHIM M.M.;partai berkarya;Nusa Tenggara Barat I
DRS SYAMSIR ALAM;partai bulan bintang;Sumatera Barat II
Ir SYAMSU HILAL MP;partai keadilan sejahtera;Banten I
Drs SYAMSU RAHIM;partai nasdem;Sumatera Barat I
SYAMSUL BACHRI M.Sc.;partai golongan karya;Sulawesi Selatan II
SYAMSUL SYAMSUDDIN ALI SH;partai keadilan sejahtera;Nusa Tenggara Timur II
SYAMSURACHMAN S.T., M.S.M.;partai golongan karya;Jawa Barat VI
SYAPARUDDIN S.H.,M.H;partai golongan karya;Sumatera Selatan I
Drs SYARAFUDDIN SH, MM;partai berkarya;Nusa Tenggara Barat II
SYARIF CAN HA;partai bulan bintang;Lampung I
DR SYARIF IBRAHIM SPB;partai bulan bintang;Sulawesi Selatan I
SYARIFAH INAYAH DJINDAN S.Kom;persatuan indonesia;Sulawesi Utara
SYARIFAH NORMAWATI M.Pd.I.;partai nasdem;Kepulauan RIAU
SYARIFATUL HIDAYAH A.MD;partai persatuan pembangunan;Sumatera Barat II
SYARIFUDDIN S.AG.;partai persatuan pembangunan;Jawa Barat VI
SYARIPAH KUMALASARI S.E;partai kebangkitan bangsa;Kalimantan Tengah
SYARONI SEI;partai gerakan indonesia raya;Jawa Tengah II
SYIFA AWALIA S.Pd.I, MM;partai bulan bintang;Dki Jakarta III
Dra SYLVIA A ANGGRAENI M.S;partai golongan karya;Nusa Tenggara Timur II
SYLVIA RAHMAH LUBIS;partai solidaritas indonesia;Sumatera Utara I
SYLVIA SULTANA;partai golongan karya;Jawa Timur II
SYLVIA WIDJAYA M.SC;partai kebangkitan bangsa;Nusa Tenggara Barat II
DR. IR. SYLVIA WISNA DARWIS SE.,M.M.;partai bulan bintang;Banten III
SYLVIE FACHRIAH ANDINI;partai nasdem;Jawa Timur III
SYSKA ULINA GINTING;persatuan indonesia;Kalimantan Selatan I
SYU?LAYYA FARIDA;partai persatuan pembangunan;Jawa Timur I
DR SYUKRI BATUBARA;persatuan indonesia;Sumatera Utara II
Dr.H SYUKRIADI SYUKUR M.Pd;partai persatuan pembangunan;Sumatera Barat I
Ir SYUKUR KOBATH;partai persatuan pembangunan;Aceh II
T ZULFIKAR THAIB ALY SH;partai persatuan pembangunan;Aceh I
T. AGUS IRWANTO H ST;persatuan indonesia;Jawa Tengah VIII
T. ALMIRA VANESA HELDY MBA;partai berkarya;Riau I
T. NASRUDDIN;partai kebangkitan bangsa;Aceh I
T. RUSLI AHMAD S.E.;partai demokrasi indonesia perjuangan;Riau I
T. YUSNI;partai golongan karya;Aceh II
T. ZAINAL ABIDIN S.Pd.I;partai gerakan indonesia raya;Aceh II
